,DATE_TIME,SL_NO,PM1_B,PM2.5_B,PM10_B,NO2_B,CO2_B,CO_B,HUMIDITY_B,TEMP_B,PM1_G,PM2.5_G,PM10_G,NO2_G,CO2_G,CO_G,HUMIDITY_G,TEMP_G,PM1_W,PM2.5_W,PM10_W,NO2_W,CO2_W,CO_W,HUMIDITY_W,TEMP_W,Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc],No_of_Student
0,13-02-2019 09:15,138.1166667,132.71666670000002,264.6333333,323.1,0.075833333,32.58316667,342.8796667,77.4655,21.67666667,104.2786885,190.2459016,247.09836069999997,0.347377049,123.7688525,30.50459016,67.32032787,21.514262300000002,120.0,289.0,299.6666667,0.041666667000000004,792.835,152.80833330000002,61.12666667,25.565,`,348.176579,10.60322993,348.58101769999996,20.39436468,308.28621660000005,13.00043243,80
1,13-02-2019 09:16,199.7833333,132.96666670000002,267.7666667,320.65,0.094666667,19.55916667,151.9988333,77.00683333,21.728,104.45901640000001,188.0,237.91803280000002,0.461147541,82.91409836,11.82885246,66.85786885,21.53147541,114.86885249999999,276.08196719999995,299.7704918,0.05295082,413.11147539999996,75.6742623,61.07180328,25.59508197,10.29356311,348.1422715,10.58781058,348.5409742,20.423686,308.2059276,12.99389441,80
2,13-02-2019 09:17,261.0983607,129.95081969999998,263.3442623,320.557377,0.107213115,14.37081967,92.86163934,76.89803279,21.79327869,98.90322581,174.7258065,225.7741935,0.539354839,70.17435484,6.403548387000001,66.97451613,21.60451613,113.72580649999999,278.2580645,300.9032258,0.062258065,133.4396774,53.40435484,60.93709677,25.65177419,10.2828883,348.102047,10.57121748,348.4944315,20.45274115,308.12365869999996,12.98639579,80
3,13-02-2019 09:18,323.0,138.7377049,280.0327869,342.83606560000004,0.11983606599999999,12.25885246,69.21491803,76.98065574,21.88868852,94.81967213,176.3278689,233.8196721,0.564590164,85.58295082,4.397540984,67.36606557,21.680491800000002,114.4098361,282.04918030000005,306.3606557,0.071967213,89.52262295,45.54114754,60.86688525,25.69786885,10.27130042,348.0560103,10.55350017,348.4415247,20.48147516,308.0395759,12.97797074,80
4,13-02-2019 09:19,384.5,129.62903229999998,270.46774189999996,333.88709680000005,0.127741935,11.33935484,59.26096774,77.3633871,21.95774194,99.75806452,176.5,222.30645159999997,0.5619354839999999,84.04209677,3.3943548389999996,67.84548387,21.74177419,114.6557377,280.91803280000005,303.81967210000005,0.08,74.57377049,40.33967213,60.77327869,25.7495082,10.25883646,348.0042659,10.53470815,348.3823886,20.50983303,307.9538452,12.96865341,80
5,13-02-2019 09:20,446.5,130.17741940000002,267.7580645,328.1451613,0.134677419,10.8316129,53.43967742,77.36129032,22.03241935,92.96774194,175.66129030000002,218.6612903,0.575322581,95.95306452,2.72016129,68.04258065,21.83225806,115.0655738,278.6721311,301.6721311,0.08852459,61.85377049,39.49278689,60.65819672,25.81590164,10.24553342,347.9469186,10.51489094,348.3171583,20.53775976,307.8666329,12.95847797,80
6,13-02-2019 09:21,508.5,121.87096770000001,249.80645159999997,300.7903226,0.142741935,10.49209677,49.786612899999994,77.47516129,22.12790323,85.26229508,162.0327869,206.9836066,0.595245902,95.85852459,2.271147541,68.16950820000001,21.92967213,113.8032787,281.04918030000005,302.1147541,0.095409836,56.57983607,38.480491799999996,60.56262295,25.86327869,10.23142828,347.884073,10.49409805,348.2459686,20.56520037,307.778105,12.94747859,80
7,13-02-2019 09:22,570.5,115.983871,236.4193548,285.67741939999996,0.15,10.31919355,47.26241935,77.53887097,22.22870968,83.74193548,154.983871,197.32258059999998,0.6140322579999999,100.4256452,1.957258065,68.21306452,22.02564516,114.7096774,278.43548389999995,298.8387097,0.100967742,52.35322581,37.70225806,60.44145161,25.93467742,10.21655804,347.8158338,10.47237902,348.1689546,20.59209987,307.6884275,12.93568942,80
8,13-02-2019 09:23,632.5,110.82258059999998,226.0967742,269.7258065,0.159354839,10.15225806,45.04887097,77.60032258,22.33016129,83.51612903,151.88709680000002,198.88709680000002,0.6283870970000001,109.7637097,1.731935484,68.23193548,22.1316129,117.81967209999999,282.4754098,303.5409836,0.109836066,48.26278689,36.83147541,60.48213115,25.97098361,10.20095968,347.74230550000004,10.44978334,348.0862513,20.61840325,307.59776669999997,12.92314462,80
9,13-02-2019 09:24,694.5,108.3870968,219.5967742,262.0806452,0.16516129,10.00580645,44.06612903,77.60564516,22.44548387,77.35483871,141.9032258,176.69354840000003,0.642419355,95.58532258,1.5664516130000001,68.20983871,22.25145161,109.24590159999998,270.31147539999995,293.60655739999993,0.12147541,31.52163934,37.17967213,60.77590164,26.1547541,10.18467019,347.66359289999997,10.42636054,347.9979935,20.64405554,307.50628860000006,12.90987837,80
10,13-02-2019 09:25,756.5,107.016129,216.67741940000002,263.8548387,0.17,10.18887097,43.31387097,77.57,22.55467742,81.01612903,144.0322581,189.33870969999998,0.654032258,93.05854839,1.431935484,68.17209677,22.35096774,99.09677419,239.20967740000003,256.8709677,0.133870968,22.25741935,37.9616129,59.98032258,26.56177419,10.16772656,347.5798006,10.40216013,347.9043163,20.66900174,307.41415930000005,12.89592482,80
